HOY;DOY;Month;Day;Hour;DataLoad
540;23;1;23;12;760
541;23;1;23;13;750
542;23;1;23;14;720
543;23;1;23;15;750
544;23;1;23;16;720
545;23;1;23;17;780
546;23;1;23;18;780
547;23;1;23;19;780
548;23;1;23;20;750
549;23;1;23;21;740
550;23;1;23;22;710
551;23;1;23;23;670
552;23;1;23;24;680
553;24;1;24;1;590
554;24;1;24;2;590
555;24;1;24;3;590
556;24;1;24;4;590
557;24;1;24;5;580
558;24;1;24;6;590
559;24;1;24;7;620
560;24;1;24;8;640
561;24;1;24;9;770
562;24;1;24;10;720
563;24;1;24;11;750
564;24;1;24;12;760
565;24;1;24;13;750
566;24;1;24;14;720
567;24;1;24;15;750
568;24;1;24;16;720
569;24;1;24;17;780
570;24;1;24;18;780
571;24;1;24;19;780
572;24;1;24;20;750
573;24;1;24;21;740
574;24;1;24;22;710
575;24;1;24;23;670
576;24;1;24;24;680
577;25;1;25;1;590
578;25;1;25;2;590
579;25;1;25;3;590
580;25;1;25;4;590
581;25;1;25;5;580
582;25;1;25;6;590
583;25;1;25;7;620
584;25;1;25;8;640
585;25;1;25;9;770
586;25;1;25;10;720
587;25;1;25;11;750
588;25;1;25;12;760
589;25;1;25;13;750
590;25;1;25;14;720
591;25;1;25;15;750
592;25;1;25;16;720
593;25;1;25;17;780
594;25;1;25;18;780
595;25;1;25;19;780
596;25;1;25;20;750
597;25;1;25;21;740
598;25;1;25;22;710
599;25;1;25;23;670
600;25;1;25;24;680
601;26;1;26;1;590
602;26;1;26;2;590
603;26;1;26;3;590
604;26;1;26;4;590
605;26;1;26;5;580
606;26;1;26;6;590
607;26;1;26;7;620
608;26;1;26;8;640
609;26;1;26;9;770
610;26;1;26;10;720
611;26;1;26;11;750
612;26;1;26;12;760
613;26;1;26;13;750
614;26;1;26;14;720
615;26;1;26;15;750
616;26;1;26;16;720
617;26;1;26;17;780
618;26;1;26;18;780
619;26;1;26;19;780
620;26;1;26;20;750
621;26;1;26;21;740
622;26;1;26;22;710
623;26;1;26;23;670
624;26;1;26;24;680
625;27;1;27;1;590
626;27;1;27;2;590
627;27;1;27;3;590
628;27;1;27;4;590
629;27;1;27;5;580
630;27;1;27;6;590
631;27;1;27;7;620
632;27;1;27;8;640
633;27;1;27;9;770
634;27;1;27;10;720
635;27;1;27;11;750
636;27;1;27;12;760
637;27;1;27;13;750
638;27;1;27;14;720
639;27;1;27;15;750
640;27;1;27;16;720
641;27;1;27;17;780
642;27;1;27;18;780
643;27;1;27;19;780
644;27;1;27;20;750
645;27;1;27;21;740
646;27;1;27;22;710
647;27;1;27;23;670
648;27;1;27;24;680
649;28;1;28;1;590
650;28;1;28;2;590
651;28;1;28;3;590
652;28;1;28;4;590
653;28;1;28;5;580
654;28;1;28;6;590
655;28;1;28;7;620
656;28;1;28;8;640
657;28;1;28;9;770
658;28;1;28;10;720
659;28;1;28;11;750
660;28;1;28;12;760
661;28;1;28;13;750
662;28;1;28;14;720
663;28;1;28;15;750
664;28;1;28;16;720
665;28;1;28;17;780
666;28;1;28;18;780
667;28;1;28;19;780
668;28;1;28;20;750
669;28;1;28;21;740
670;28;1;28;22;710
671;28;1;28;23;670
672;28;1;28;24;680
673;29;1;29;1;590
674;29;1;29;2;590
675;29;1;29;3;590
676;29;1;29;4;590
677;29;1;29;5;580
678;29;1;29;6;590
679;29;1;29;7;620
680;29;1;29;8;640
681;29;1;29;9;770
682;29;1;29;10;720
683;29;1;29;11;750
684;29;1;29;12;760
685;29;1;29;13;750
686;29;1;29;14;720
687;29;1;29;15;750
688;29;1;29;16;720
689;29;1;29;17;780
690;29;1;29;18;780
691;29;1;29;19;780
692;29;1;29;20;750
693;29;1;29;21;740
694;29;1;29;22;710
695;29;1;29;23;670
696;29;1;29;24;680
697;30;1;30;1;590
698;30;1;30;2;590
699;30;1;30;3;590
700;30;1;30;4;590
701;30;1;30;5;580
702;30;1;30;6;590
703;30;1;30;7;620
704;30;1;30;8;640
705;30;1;30;9;770
706;30;1;30;10;720
707;30;1;30;11;750
708;30;1;30;12;760
709;30;1;30;13;750
710;30;1;30;14;720
711;30;1;30;15;750
712;30;1;30;16;720
713;30;1;30;17;780
714;30;1;30;18;780
715;30;1;30;19;780
716;30;1;30;20;750
717;30;1;30;21;740
718;30;1;30;22;710
719;30;1;30;23;670
720;30;1;30;24;680
721;31;1;31;1;590
722;31;1;31;2;590
723;31;1;31;3;590
724;31;1;31;4;590
725;31;1;31;5;580
726;31;1;31;6;590
727;31;1;31;7;620
728;31;1;31;8;640
729;31;1;31;9;770
730;31;1;31;10;720
731;31;1;31;11;750
732;31;1;31;12;760
733;31;1;31;13;750
734;31;1;31;14;720
735;31;1;31;15;750
736;31;1;31;16;720
737;31;1;31;17;780
